xi,grid,seed,I_variant,n_voids,cfc_correction_std,laplacian_I_std,mean_abs_deltaPk_filtered,max_abs_deltaPk_filtered,mean_abs_local_cfc_correction,max_abs_local_cfc_correction,outdir
0.01,512,1,inverse_density,300,0.0005314646780650921,0.0531464678065092,0.0015588185590185136,0.0097156477218424,0.00012723383962993584,0.004094208884435062,cfc_xi_sensitivity\grid512_xi0p01_seed1_inverse_density
0.01,512,2,inverse_density,319,0.0005507016880484198,0.05507016880484198,0.0018057595438193163,0.0112794353453384,0.00015331723425535934,0.005481355579405357,cfc_xi_sensitivity\grid512_xi0p01_seed2_inverse_density
0.03,512,1,inverse_density,300,0.001594394034195276,0.0531464678065092,0.004709791347838778,0.0294609244514833,0.00038170151888980756,0.012282626653305186,cfc_xi_sensitivity\grid512_xi0p03_seed1_inverse_density
0.03,512,2,inverse_density,319,0.0016521050641452593,0.05507016880484198,0.005458648524399103,0.034228053812886,0.00045995170276607797,0.016444066738216072,cfc_xi_sensitivity\grid512_xi0p03_seed2_inverse_density
0.05,512,1,inverse_density,300,0.0026573233903254604,0.0531464678065092,0.00790521169770305,0.049624842895732,0.0006361691981496792,0.020471044422175313,cfc_xi_sensitivity\grid512_xi0p05_seed1_inverse_density
0.05,512,2,inverse_density,319,0.0027535084402420993,0.05507016880484198,0.00916669736223368,0.0576963359829289,0.0007665861712767967,0.027406777897026786,cfc_xi_sensitivity\grid512_xi0p05_seed2_inverse_density
0.1,512,1,inverse_density,300,0.005314646780650921,0.0531464678065092,0.016088220651931485,0.1018661965077629,0.0012723383962993584,0.040942088844350626,cfc_xi_sensitivity\grid512_xi0p1_seed1_inverse_density
0.1,512,2,inverse_density,319,0.0055070168804841986,0.05507016880484198,0.01867814383230963,0.1186405701064513,0.0015331723425535933,0.05481355579405357,cfc_xi_sensitivity\grid512_xi0p1_seed2_inverse_density
0.2,512,1,inverse_density,300,0.010629293561301842,0.0531464678065092,0.03328763032996436,0.2141984358807205,0.0025446767925987167,0.08188417768870125,cfc_xi_sensitivity\grid512_xi0p2_seed1_inverse_density
0.2,512,2,inverse_density,319,0.011014033760968397,0.05507016880484198,0.038735284095988455,0.2502727327752774,0.0030663446851071866,0.10962711158810715,cfc_xi_sensitivity\grid512_xi0p2_seed2_inverse_density
